"Title","Date_received","Opinion","Number_of_Findings","Nature_of_Findings",
"4066 - Anthony Water & Sanitation District (2007)","2009-03-10","Unqualified","8","<p>PY-8 1)Reconciling bank balance to general ledger-GL&nbsp;2)Reconciling accounts receivable to GL 3)Recording accounts payable&nbsp;to GL and accrued expenses&nbsp;4)Actual expenditures exceeded budgetary expenditures 5)Late Audit Report 6)Recording payroll transactions 7)Financial reports not submitted to DFA 8)DFA approval of annual budget</p>",
"4066 - Anthony Water & Sanitation District (2008)","2010-07-23","Unqualified","7","",
"4066 - Anthony Water & Sanitation District (2009)","2010-09-22","Unqualified","7","",
"4066 - Anthony Water & Sanitation District (2010)","2011-09-26","Unqualified","5","",
"4066 - Anthony Water & Sanitation District (2011)","2011-12-07","Unqualified","2","",
"4012 - Arch Hurley Conservation District (2004)","2005-09-16","Qualified","3","PY-3 1)Debt retirement 2)Pledged collateral 3)Certificate of deposit held out of State",
"4012 - Arch Hurley Conservation District (2005)","2007-01-19","Unqualified","4","PY-2 1)Pledged collateral 2)Cert of Deposit held out of State CY-2 1)Form I-9 2)Late Audit Report",
"4012 - Arch Hurley Conservation District (2006)","2008-03-11","In review","0","",
"4012 - Arch Hurley Conservation District (2007)","2008-06-02","Unqualified","5","<p>PY-3 1)IPA prepared Audit Report 2)Form I-9 incomplete 3)Lack of segregation of duties CY-2 1)Expenditures exceeded budget, budget authority was exceeded 2)Cash disbursements exceptions</p>",
"4012 - Arch Hurley Conservation District (2008)","2009-05-29","Unqualified","1","",
"4012 - Arch Hurley Conservation District (2009)","2010-06-01","Unqualified","0","",
"4012 - Arch Hurley Conservation District (2010)","2011-11-28","Unqualified","1","",
"3024 - Arenas Valley Water Development Association (2010)","2011-05-31","Agreed Upon Procedure (No Opinion)","2","",
"6006-A - Artesia Public Housing Authority (2006)","2006-12-01","Unqualified","6","6 PY: 1) Budget authority; 2) Cash disbursements; 3) Tenent eligibility; 4) Documentation of payroll expenses; 5) Agency credit cards; 6) Cellular phone usage.",
"6006-A - Artesia Public Housing Authority (2007)","2007-12-03","Unqualified","3","PY&amp;CY-2 1)Housing Authority exceed the HUD Low Rent operating budget of $515,646 by $2,918 2)25 tenant files tested revealed:3 files were the applicant didn&#039;t fill out Form 214-Personal Declaration of status, 1 file where the applicant didn&#039;t fill out Form 9886-Release of Information/Federal Privacy &amp; 19 files where the applicant didn&#039;t fill out the Community Service/Self Sufficiency Policy CY-1 1)Quarterly payroll tax reports were not submitted timely &amp; the payroll reports for the NM Dept of Labor were not completed correctly",
"6006-A - Artesia Public Housing Authority (2008)","2009-04-01","Unqualified","1","<p>CY-1 1)Late Audit Report</p>",
"6006-A - Artesia Public Housing Authority (2009)","2009-12-01","Unqualified","0","",
"6006-A - Artesia Public Housing Authority (2010)","2011-01-26","Unqualified","1","",
"7004 - Artesia Public Schools (1998)","1998-01-01","Unqualified","0"," ",
"7004 - Artesia Public Schools (1999)","1999-01-01","Unqualified","2","Cash Receipts, Deposit Collateral ",
"7004 - Artesia Public Schools (2000)","2000-01-01","Unqualified","14","(2)FA, (5)Expenditures, (4)Documentation, (2)Cash, (1)Eligibility ",
"7004 - Artesia Public Schools (2001)","2001-10-25","Unqualified","5","PY(4) - AJHS Student Activity - Safeguarding Assets/AJHS Student Activity - Expenditures/AJHS Student Activity - Support and Documentation/Federal Funds - Reporting Documentation CY - (1)Expenditures - Authorizations &amp; Support ",
"7004 - Artesia Public Schools (2002)","2002-11-15","Unqualified","11","CY (1)fixed capital asset records are inadequate, (1) payroll and payroll tax form irregularities, (1) audit report was late, (1) no segregation of duties, (1) no document retention, (1) no regular petty cash reconciliation, (1) many people have access to the check signing machine keys, (1) vague policy regarding the accrual of vacation time, (1) USDA commodities not entered in the books and records of the agency, (1) bank accounts closed during the year were not mentioned in the minutes of the school board, (1) overdrafts of their respective bank acccounts ",
"7004 - Artesia Public Schools (2003)","2003-11-15","Unqualified","0"," ",
"7004 - Artesia Public Schools (2004)","2004-11-15","Unqualified","0","None",
"7004 - Artesia Public Schools (2005)","2005-11-08","Unqualified","0","None",
"7004 - Artesia Public Schools (2006)","2006-11-15","Unqualified","1","1 CY: Budget expenditures authority was exceeded.",
"7004 - Artesia Public Schools (2007)","2007-11-13","Unqualified","0","",
"7004 - Artesia Public Schools (2008)","2008-11-14","Unqualified","0","",
"7004 - Artesia Public Schools (2009)","2009-11-12","Unqualified","0","",
"7004 - Artesia Public Schools (2010)","2010-11-15","Unqualified","3","",
"7004 - Artesia Public Schools (2011)","2011-09-06","Unqualified","3","",
"2001 - Artesia Special Hospital District (2004)","2004-10-15","Unqualified","0","None",
"2001 - Artesia Special Hospital District (2005)","2005-10-18","Unqualified","0","None",
"2001 - Artesia Special Hospital District (2006)","2006-10-15","Unqualified","0","None",
"2001 - Artesia Special Hospital District (2007)","2007-10-15","In review","0","",
"2001 - Artesia Special Hospital District (2008)","2008-10-15","Unqualified","2","<p>PY-2 1)Preparation of Financial Statements 2)Segregation of duties</p>",
"2001 - Artesia Special Hospital District (2009)","2009-10-15","Unqualified","2","",
"2001 - Artesia Special Hospital District (2010)","2010-10-15","Unqualified","2","",
"2001 - Artesia Special Hospital District (2011)","2011-10-14","Unqualified","0","",
"7005 - Aztec Municipal Schools (1998)","1998-01-01","Unqualified","0"," ",
"7005 - Aztec Municipal Schools (1999)","1999-01-01","Unqualified","1","Checks Issued Without Payee Completed ",
"7005 - Aztec Municipal Schools (2000)","2000-01-01","Unqualified","1","Filing of late report ",
"7005 - Aztec Municipal Schools (2001)","2001-11-15","Unqualified","2","(1)Collateralization for repurchase agreement (1)Deficit cash balances in Special Revenue funds ",
"7005 - Aztec Municipal Schools (2002)","2002-10-28","Unqualified","0"," ",
"7005 - Aztec Municipal Schools (2003)","2003-11-15","Unqualified","1","CY - (1)Lack of required securities held as collateral for public monies. ",
"7005 - Aztec Municipal Schools (2004)","2005-03-08","Unqualified","1","CY (1) The audit report was late. ",
"7005 - Aztec Municipal Schools (2005)","2005-11-15","Unqualified","0","None",
"7005 - Aztec Municipal Schools (2006)","2006-11-14","Unqualified","0","None",
"7005 - Aztec Municipal Schools (2007)","2008-11-19","Unqualified","12","<p>CY-12 1)Preparation of financial statements 2)Depreciation not calculated correctly 3)Late audit report 4)Late filing of Federal clearinghouse reporting 5)Internal controls over capital assets 6)Deficit cash balances existed at yr end 7)Lack of timely monitoring of budget line items 8)Reporting deletions to capital assets to the State Auditors Office 9)Inadequate controls over accounting system-Component Unit 10)Lack of timely monitoring of budget line items-Component Unit 11)Deficit cash balances at yr end-component unit 12)Late filing of Federal Clearinghouse reporting-component unit</p>",
"7005 - Aztec Municipal Schools (2008)","2009-03-01","Unqualified","5","<p>PY-5 1)Preparation of financial statements 2)Internal control over capital assets 3)Reporting deletions to the State Auditors Office 4)Late Audit Report 5)Internal controls over capital assets-Mosaic Academy</p>",
"7005 - Aztec Municipal Schools (2009)","2009-11-10","Unqualified","9","",
"7005 - Aztec Municipal Schools (2010)","2010-11-08","Unqualified","8","",
"7005 - Aztec Municipal Schools (2011)","2011-11-14","Unqualified","4","",
"6010-A - Bayard Housing Authority (2004)","2004-12-01","Unqualified","3","3 CY - (1)Uninsured deposits of public monies. (1)Incorrect travel &amp; per diem reimbursement. (1)Purchase orders were complete after purchase was made. ",
"6010-A - Bayard Housing Authority (2006)","2006-12-01","Qualified","8","8 CY: 1) Capital assets subsidiary records; 2) Maintenance of general ledger &amp; accounting records; 3) Personnel policy; 4) Cash disbursements; 5) Budget authority; 6) Public employees retirement association (PERA) reporting; 7) Travel &amp; per diem; 8) Documentation of payroll expenditures.",
"6010-A - Bayard Housing Authority (2007)","2007-12-03","Qualified","3","PY&amp;CY-1 1)Authority hasn&#039;t maintained a complete &amp; accurate capital asset subsidiary record supporting items on the list CY-2 1)Late Audit Report 3)Authority-tested 25 tenant files--11 times the application was not countersigned by the authority, 4 times the current yr lease wasn&#039;t on file, 5 times income of tenant not verified, 5 times the Community Service/Self Sufficiency Policy not filled out, 6 times tenants not re-xamined in a timely manner &amp; 7 times the property hadn&#039;t been inspected during the fical yr",
"6010-A - Bayard Housing Authority (2008)","2009-04-24","In review","0","",
"6010-A - Bayard Housing Authority (2009)","2009-12-01","Unqualified","1","",
"6010-A - Bayard Housing Authority (2010)","2010-12-01","Unqualified","3","",
"6010-A - Bayard Housing Authority (2011)","2011-12-01","Unqualified","1","",
"7006 - Belen Consolidated Schools (1998)","1998-01-01","Unqualified","0"," ",
"7006 - Belen Consolidated Schools (1999)","1999-01-01","Unqualified","0"," ",
"7006 - Belen Consolidated Schools (2000)","2000-01-01","Unqualified","0"," ",
"7006 - Belen Consolidated Schools (2001)","2002-01-16","Unqualified","7","(1)Minutes record book (1)Control of gasoline credit cards (1)recording of grants received (1)salary compensation for services not received (1)Leave accrual policy (1)Timeliness of audit report (1)Medicaid referrals ",
"7006 - Belen Consolidated Schools (2002)","2002-12-06","Unqualified","2","CY &amp; PY (1) audit report late, (1) minutes record book, min of board meetings need to be expanded to accurately record all discussed and decisions made ",
"7006 - Belen Consolidated Schools (2003)","2003-11-15","Unqualified","0"," ",
"7006 - Belen Consolidated Schools (2004)","2004-11-15","Unqualified","0","None ",
"7006 - Belen Consolidated Schools (2005)","2005-11-15","Unqualified","1","1 CY: State dated checks.",
"7006 - Belen Consolidated Schools (2006)","2006-11-15","Unqualified","2","2 CY: 1) There were uncollateralized public funds; 2) Purchase order dated after invoice date.",
"7006 - Belen Consolidated Schools (2007)","2007-11-14","Unqualified","6","CY-6 1)Budget expenditures was exceeded 2)Expenditure documentation was inadequate or erroneous 3)There were payroll &amp; payroll tax form irregularities 4)Inadequate food inventory receipt &amp; disbursement records 5)Personal use of company vehicle not included on employee W-2 form 6)Preparation of the Financial Statements",
"7006 - Belen Consolidated Schools (2008)","2008-11-10","Unqualified","6","<p>PY-3 1)inventory price discrepancies 2)Cash appropriations in excess of available cash 3)SAS 112 finding: The District lacks the ability to prepare financial statements&nbsp; CY-3 1)Internal control over credit cards (too many issued and not used)&nbsp; 2)Lack of segregation of duties in the cash receipts process 3)Untimely review of cash reconciliations</p>",
"7006 - Belen Consolidated Schools (2009)","2009-11-13","Unqualified","8","",
"7006 - Belen Consolidated Schools (2010)","2012-03-22","In review","0","",
"3036 - Berino Mutual Domestic Water Consumers Association (2009)","2010-10-06","Qualified","4","",
"3036 - Berino Mutual Domestic Water Consumers Association (2010)","2010-10-06","In review","0","",
"5001 - Bernalillo County (1998)","1998-01-01","Unqualified","0"," ",
"5001 - Bernalillo County (1999)","1999-01-01","Unqualified","9","(2) Travel Per Diem, F/A, Lease, MIS, Pol &amp; Proc, Purch, Check Endorsement, Deposit of Public Monies ",
"5001 - Bernalillo County (2000)","2000-01-01","Unqualified","11","(3)PY (1)Treasurer report (1)Unclaimed checks (1)SO Evidence Control (2)Facility and Fuel Management (1)Waste Mgt. Contract (1)Disaster Recovery plan (1)Treasurer Check handling ",
"5001 - Bernalillo County (2001)","2002-06-10","Unqualified","24","(4)PY - Timely deposit/Treasurer&#039;s Monthly Financial Report/Unclaimed checks/Fuel Mgmt CY-(20)Late Audit Report/Zoning,Building &amp; Planning Dept-Building Permits/Cash Receipts-Remote Locations/Custody of Resident Assets-Juvenile Detention Center/Fire &amp; Rescue Dept-PR Process/Purch Office SPO Card/Treasurer&#039;s Investment Reconc/Investment of Funds with Banks/Investment Int. Alloc./AR Collections-Solid Waste/Agency Fund Reconc/Unallowable Investment/Insuff Collateralization/Unrecorded Bank Acct/Treasurer&#039;s Bank Reconc/Gen Controls/Procedures manual/Disaster Recovery Plan/Prevailing Wages-Rossmore Sewer/Grant Files Rossmore Sewer ",
